id,x,y,,,,
BT0P40i,0,240,,,,
BT0P40i,6,240,,,,
BT20P40i,0,130,,,,
BT20P40i,2,159,,,,
BT20P40i,3,190,,,,
BT20P40i,6,212,,,,
BT40P40i,0,37,,,,
BT40P40i,1,80,,,,
BT40P40i,3,155,,,,
BT40P40i,6,220,,,,
BT0P40,0,90,,,,
BT0P40,6,90,,,,
BT20P40,0,30,,,,
BT20P40,1,55,,,,
BT20P40,3,80,,,,
BT20P40,6,90,,,,
BT40P40,0,4,,,,
BT40P40,1,30,,,,
BT40P40,3,60,,,,
BT40P40,6,90,,,,
BT0P30i,0,60,,,,
BT0P30i,6,60,,,,
BT30P30i,0,20,,,,
BT30P30i,1,40,,,,
BT30P30i,3,60,,,,
BT30P30i,6,60,,,,
BT0P30,0,17,,,,
BT0P30,6,17,,,,
BT30P30,0,2,,,,
BT30P30,1,10,,,,
BT30P30,3,17,,,,
BT30P30,6,17,,,,
